topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,paper_year
Cell Biology & Classification,Which part of the cell contains the genetic material?,Cytoplasm,Nucleus,Cell membrane,Vacuole,B,,1,
Cell Biology & Classification,Which of these is a single-celled organism?,Amoeba,Human,Frog,Mushroom,A,,1,
Cell Biology & Classification,What is the function of the cell wall in plant cells?,Controls all substances entering the cell,Provides structural support and protection,Produces energy,Stores genetic information,B,,2,
Cell Biology & Classification,Which kingdom do bacteria belong to?,Animalia,Plantae,Monera,Fungi,C,,2,
Cell Biology & Classification,Which structure stores water and maintains turgor pressure in plant cells?,Nucleus,Vacuole,Ribosome,Mitochondria,B,,2,
Cell Biology & Classification,A prokaryotic cell differs from a eukaryotic cell mainly because it,Has a true nucleus,Lacks a membrane-bound nucleus,Has no cell membrane,Cannot reproduce,B,,2,
Cell Biology & Classification,Which of the following is NOT one of the five kingdoms of classification?,Animalia,Protista,Virus,Fungi,C,Viruses are not classified within the five kingdoms since they are non-living particles.,3,
Cell Biology & Classification,What is the main function of the Golgi apparatus?,Photosynthesis,Packaging and transporting proteins,Producing ATP,Storing DNA,B,,3,
Cell Biology & Classification,Which term describes an organism made of only one cell?,Multicellular,Unicellular,Tissue,Colony,B,,1,
Cell Biology & Classification,Which of these organelles is only found in animal cells and not plant cells?,Chloroplast,Cell wall,Centriole,Large vacuole,C,,3,
Plant Nutrition & Transport,What raw materials does a plant need for photosynthesis?,Oxygen and water,Carbon dioxide and water,Glucose and oxygen,Nitrogen and water,B,,1,
Plant Nutrition & Transport,Which gas is released as a by-product of photosynthesis?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C,,1,
Plant Nutrition & Transport,Where in the plant cell does photosynthesis mainly take place?,Mitochondria,Nucleus,Chloroplast,Ribosome,C,,2,
Plant Nutrition & Transport,Which structures on a leaf allow gases to enter and exit?,Root hairs,Stomata,Xylem vessels,Petals,B,,2,
Plant Nutrition & Transport,What is transpiration?,The uptake of minerals by roots,The loss of water vapor from leaves,The production of seeds,The absorption of sunlight,B,,2,
Plant Nutrition & Transport,"Which factor would NOT increase the rate of transpiration?",Increased temperature,Increased wind speed,Increased humidity,Increased light intensity,C,"Higher humidity reduces the water potential gradient, slowing transpiration.",3,
Plant Nutrition & Transport,A wilting plant placed in water often recovers because water moves into its cells by,Diffusion,Osmosis,Active transport,Transpiration,B,,2,
Plant Nutrition & Transport,Which nutrient deficiency in soil commonly causes stunted plant growth?,Nitrogen,Oxygen,Carbon dioxide,Water vapor,A,,2,
Plant Nutrition & Transport,What is the main function of a flower's petals?,Produce seeds,Attract pollinators,Absorb water,Store food,B,,1,
Plant Nutrition & Transport,Which process describes the transfer of pollen from anther to stigma?,Fertilization,Germination,Pollination,Respiration,C,,1,
Human Nutrition & Health,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,,2,
Human Nutrition & Health,Which vitamin is mainly obtained through sunlight exposure on skin?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,C,,2,
Human Nutrition & Health,A balanced diet should include all EXCEPT,Carbohydrates,Proteins,Fats,Only water,D,,1,
Human Nutrition & Health,Which mineral is essential for strong bones and teeth?,Iron,Calcium,Sodium,Potassium,B,,1,
Human Nutrition & Health,What is the main role of fiber in the human diet?,Provides energy,Aids digestion and prevents constipation,Builds muscle,Produces hormones,B,,2,
Human Nutrition & Health,Which of these is a water-soluble vitamin?,Vitamin A,Vitamin D,Vitamin C,Vitamin E,C,,3,
Human Nutrition & Health,"What does the term 'malnutrition' refer to?",Eating too much food only,"An imbalance of nutrients, whether too much or too little",Only a lack of vitamins,Eating only vegetables,B,,2,
Human Nutrition & Health,Which practice most directly helps prevent food poisoning?,Storing food at proper temperatures,Eating food quickly,Adding more salt to food,Reheating food multiple times,A,,2,
